index,name,code,setName
0,Ancestor's Chosen,10E,Tenth Edition
1,Angel of Mercy,10E,Tenth Edition
2,Aven Cloudchaser,10E,Tenth Edition
3,Ballista Squad,10E,Tenth Edition
4,Bandage,10E,Tenth Edition
5,Beacon of Immortality,10E,Tenth Edition
6,Benalish Knight,10E,Tenth Edition
8,"Cho-Manno, Revolutionary",10E,Tenth Edition
9,Condemn,10E,Tenth Edition
10,Contaminated Bond,10E,Tenth Edition
11,Drudge Skeletons,10E,Tenth Edition
12,Demystify,10E,Tenth Edition
13,Fear,10E,Tenth Edition
14,Field Marshal,10E,Tenth Edition
15,Hypnotic Specter,10E,Tenth Edition
16,Ghost Warden,10E,Tenth Edition
17,Glorious Anthem,10E,Tenth Edition
18,Hail of Arrows,10E,Tenth Edition
19,Heart of Light,10E,Tenth Edition
20,High Ground,10E,Tenth Edition
21,Honor Guard,10E,Tenth Edition
22,Icatian Priest,10E,Tenth Edition
23,Reviving Dose,10E,Tenth Edition
24,Reya Dawnbringer,10E,Tenth Edition
25,Righteousness,10E,Tenth Edition
26,Samite Healer,10E,Tenth Edition
27,Serra's Embrace,10E,Tenth Edition
28,Academy Researchers,10E,Tenth Edition
29,Air Elemental,10E,Tenth Edition
30,Ambassador Laquatus,10E,Tenth Edition
31,Aven Fisher,10E,Tenth Edition
32,Aven Windreader,10E,Tenth Edition
33,Boomerang,10E,Tenth Edition
34,Cancel,10E,Tenth Edition
35,Cephalid Constable,10E,Tenth Edition
36,Clone,10E,Tenth Edition
37,Cloud Elemental,10E,Tenth Edition
38,Cloud Sprite,10E,Tenth Edition
39,Counsel of the Soratami,10E,Tenth Edition
40,Crafty Pathmage,10E,Tenth Edition
41,Dehydration,10E,Tenth Edition
42,Deluge,10E,Tenth Edition
43,Denizen of the Deep,10E,Tenth Edition
44,Discombobulate,10E,Tenth Edition
45,Dreamborn Muse,10E,Tenth Edition
46,Evacuation,10E,Tenth Edition
47,Afflict,10E,Tenth Edition
48,Agonizing Memories,10E,Tenth Edition
49,Ascendant Evincar,10E,Tenth Edition
51,Assassinate,10E,Tenth Edition
52,Beacon of Unrest,10E,Tenth Edition
53,Bog Wraith,10E,Tenth Edition
55,Hurkyl's Recall,10E,Tenth Edition
56,Reminisce,10E,Tenth Edition
57,Remove Soul,10E,Tenth Edition
58,Robe of Mirrors,10E,Tenth Edition
60,Rootwater Commando,10E,Tenth Edition
62,Rule of Law,10E,Tenth Edition
63,Rootwater Matriarch,10E,Tenth Edition
64,Sage Owl,10E,Tenth Edition
66,Scalpelexis,10E,Tenth Edition
