,dates,Ancestor's Chosen,Angel of Mercy,Aven Cloudchaser,Ballista Squad,Bandage,Beacon of Immortality,Benalish Knight,Condemn,Contaminated Bond,Demystify
2010-11-03,2010-11-03,," 1.2
",,,,,,,,
2010-11-04,2010-11-04,," 1.2
",,,,,,,,
2010-11-05,2010-11-05,," 1.2
",,,,,,,,
2010-11-06,2010-11-06,," 1.2
",,,,,,,,
2010-11-07,2010-11-07,," 1.2
",,,,,,,,
2010-11-08,2010-11-08,," 1.2
",,,,,,,,
2010-11-09,2010-11-09,," 1.2
",,,,,,,,
2010-11-10,2010-11-10,," 1.19
",,,,,,,,
2010-11-11,2010-11-11,," 1.19
",,,,,,,,
2010-11-12,2010-11-12,," 1.18
",,,,,,,,
2010-11-13,2010-11-13,," 1.17
",,,,,,,,
2010-11-14,2010-11-14,," 1.17
",,,,,,,,
2010-11-15,2010-11-15,," 1.16
",,,,,,,,
2010-11-16,2010-11-16,," 1.16
",,,,,,,,
2010-11-17,2010-11-17,," 1.16
",,,,,,,,
2010-11-18,2010-11-18,," 1.15
",,,,,,,,
2010-11-19,2010-11-19,," 1.15
",,,,,,,,
2010-11-20,2010-11-20,," 1.15
",,,,,,,,
2010-11-21,2010-11-21,," 1.15
",,,,,,,,
2010-11-22,2010-11-22,," 1.15
",,,,,,,,
2010-11-23,2010-11-23,," 1.15
",,,,,,,,
2010-11-24,2010-11-24,," 1.15
",,,,,,,,
2010-11-25,2010-11-25,," 1.15
",,,,,,,,
2010-11-26,2010-11-26,," 1.15
",,,,,,,,
2010-11-27,2010-11-27,," 1.15
",,,,,,,,
2010-11-28,2010-11-28,," 1.15
",,,,,,,,
2010-11-29,2010-11-29,," 1.15
",,,,,,,,
2010-11-30,2010-11-30,," 1.15
",,,,,,,,
2010-12-01,2010-12-01,," 1.15
",,,,,,,,
2010-12-02,2010-12-02,," 0.85
",,,,,,,,
2010-12-03,2010-12-03,," 1.19
",,,,,,,,
2010-12-04,2010-12-04,," 1.34
",,,,,,,,
2010-12-05,2010-12-05,," 1.34
",,,,,,,,
2010-12-06,2010-12-06,," 1.34
",,,,,,,,
2010-12-07,2010-12-07,," 1.53
",,,,,,,,
2010-12-08,2010-12-08,," 1.53
",,,,,,,,
2010-12-09,2010-12-09,," 1.53
",,,,,,,,
2010-12-10,2010-12-10,," 1.48
",,,,,,,,
2010-12-11,2010-12-11,," 1.48
",,,,,,,,
2010-12-12,2010-12-12,," 1.48
",,,,,,,,
2010-12-13,2010-12-13,," 1.48
",,,,,,,,
2010-12-14,2010-12-14,," 1.48
",,,,,,,,
2010-12-15,2010-12-15,," 1.48
",,,,,,,,
2010-12-16,2010-12-16,," 1.48
",,,,,,,,
2010-12-17,2010-12-17,," 1.48
",,,,,,,,
2010-12-18,2010-12-18,," 1.48
",,,,,,,,
2010-12-19,2010-12-19,," 1.48
",,,,,,,,
2010-12-20,2010-12-20,," 1.48
",,,,,,,,
2010-12-21,2010-12-21,," 1.48
",,,,,,,,
2010-12-22,2010-12-22,," 1.48
",,,,,,,,
2010-12-23,2010-12-23,," 1.48
",,,,,,,,
2010-12-24,2010-12-24,," 1.48
",,,,,,,,
2010-12-25,2010-12-25,," 1.48
",,,,,,,,
2010-12-26,2010-12-26,," 1.48
",,,,,,,,
2010-12-27,2010-12-27,," 1.48
",,,,,,,,
2010-12-28,2010-12-28,," 1.48
",,,,,,,,
2010-12-29,2010-12-29,," 1.48
",,,,,,,,
2010-12-30,2010-12-30,," 1.48
",,,,,,,,
2010-12-31,2010-12-31,," 1.53
",,,,,,,,
2011-01-01,2011-01-01,," 1.53
",,,,,,,,
2011-01-02,2011-01-02,," 1.48
",,,,,,,,
2011-01-03,2011-01-03,," 1.48
",,,,,,,,
2011-01-04,2011-01-04,," 1.48
",,,,,,,,
2011-01-05,2011-01-05,," 1.48
",,,,,,,,
2011-01-06,2011-01-06,," 1.48
",,,,,,,,
2011-01-07,2011-01-07,," 1.48
",,,,,,,,
2011-01-08,2011-01-08,," 1.52
",,,,,,,,
2011-01-09,2011-01-09,," 1.48
",,,,,,,,
2011-01-10,2011-01-10,," 1.48
",,,,,,,,
2011-01-11,2011-01-11,," 1.48
",,,,,,,,
2011-01-12,2011-01-12,," 1.48
",,,,,,,,
2011-01-13,2011-01-13,," 1.46
",,,,,,,,
2011-01-14,2011-01-14,," 1.46
",,,,,,,,
2011-01-15,2011-01-15,," 1.46
",,,,,,,,
2011-01-16,2011-01-16,," 1.52
",,,,,,,,
2011-01-17,2011-01-17,," 1.52
",,,,,,,,
2011-01-18,2011-01-18,," 1.52
",,,,,,,,
2011-01-19,2011-01-19,," 1.52
",,,,,,,,
2011-01-20,2011-01-20,," 1.52
",,,,,,,,
2011-01-21,2011-01-21,," 1.48
",,,,,,,,
2011-01-22,2011-01-22,," 1.48
",,,,,,,,
2011-01-23,2011-01-23,," 1.48
",,,,,,,,
2011-01-24,2011-01-24,," 1.48
",,,,,,,,
2011-01-25,2011-01-25,," 1.48
",,,,,,,,
2011-01-26,2011-01-26,," 1.48
",,,,,,,,
2011-01-27,2011-01-27,," 1.48
",,,,,,,,
2011-01-28,2011-01-28,," 1.48
",,,,,,,,
2011-01-29,2011-01-29,," 1.48
",,,,,,,,
2011-01-30,2011-01-30,," 1.48
",,,,,,,,
2011-01-31,2011-01-31,," 1.48
",,,,,,,,
2011-02-01,2011-02-01,," 1.48
",,,,,,,,
2011-02-02,2011-02-02,," 1.48
",,,,,,,,
2011-02-03,2011-02-03,," 1.48
",,,,,,,,
2011-02-04,2011-02-04,," 1.48
",,,,,,,,
2011-02-05,2011-02-05,," 1.48
",,,,,,,,
2011-02-06,2011-02-06,," 1.48
",,,,,,,,
2011-02-07,2011-02-07,," 1.48
",,,,,,,,
2011-02-08,2011-02-08,," 1.48
",,,,,,,,
2011-02-09,2011-02-09,," 1.48
",,,,,,,,
2011-02-10,2011-02-10,," 1.48
",,,,,,,,
2011-02-11,2011-02-11,," 1.48
",,,,,,,,
2011-02-12,2011-02-12,," 1.48
",,,,,,,,
2011-02-13,2011-02-13,," 1.48
",,,,,,,,
2011-02-14,2011-02-14,," 1.48
",,,,,,,,
2011-02-15,2011-02-15,," 1.48
",,,,,,,,
2011-02-16,2011-02-16,," 1.48
",,,,,,,,
2011-02-17,2011-02-17,," 1.48
",,,,,,,,
2011-02-18,2011-02-18,," 1.48
",,,,,,,,
2011-02-19,2011-02-19,," 1.32
",,,,,,,,
2011-02-20,2011-02-20,," 1.32
",,,,,,,,
2011-02-21,2011-02-21,," 1.32
",,,,,,,,
2011-02-22,2011-02-22,," 1.32
",,,,,,,,
2011-02-23,2011-02-23,," 1.32
",,,,,,,,
2011-02-24,2011-02-24,," 1.32
",,,,,,,,
